Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	MWMI01000001_207	224	284	3.2e-07	25.5	177680	178351	MWMI01000001	207	0.2767857142857143	0.20774647887323944	1
AbiEii_0_CAS-III	MWMI01000002_121	802	284	1.1e-06	23.8	106112	108517	MWMI01000002	121	0.05112219451371571	0.07394366197183098	-1
AbiEii_0_CAS-III	MWMI01000002_31	319	284	7.9e-07	24.2	24502	25458	MWMI01000002	31	0.4827586206896552	0.5176056338028169	-1
AbiEii_0_CAS-III	MWMI01000003_17	236	284	0.0029	12.5	13827	14534	MWMI01000003	17	0.1483050847457627	0.11267605633802817	1
AbiEii_0_CAS-III	MWMI01000004_7	238	284	1.7e-05	19.8	5922	6635	MWMI01000004	7	0.44537815126050423	0.3591549295774648	1
AbiEii_1_CAS-III-A	MWMI01000004_51	118	335	0.0054	11.2	37230	37583	MWMI01000004	51	0.847457627118644	0.2865671641791045	-1
AbiEii_1_CAS-III-A	MWMI01000005_8	144	335	4.4e-05	18.0	9413	9844	MWMI01000005	8	0.4027777777777778	0.16716417910447762	1
Cas11_3_IVC	MWMI01000001_51	224	116	0.0045	12.4	48093	48764	MWMI01000001	51	0.17410714285714285	0.33620689655172414	1
Cas12a_1_CAS-V-A	MWMI01000003_8	277	1086	5.1e-05	16.6	7277	8107	MWMI01000003	8	0.20577617328519857	0.052486187845303865	1
Cas12b_0_VB	MWMI01000001_136	151	1130	0.004	10.3	116384	116836	MWMI01000001	136	0.304635761589404	0.04070796460176991	1
Cas12c_1_CAS-V-C	MWMI01000001_81	287	1268	0.011	8.6	68141	69001	MWMI01000001	81	0.8048780487804879	0.15772870662460567	1
Cas12f1_2_CAS-V-F	MWMI01000001_118	54	429	0.0013	13.0	101091	101252	MWMI01000001	118	0.5185185185185185	0.07226107226107226	1
Cas12f2_0_CAS-V-F	MWMI01000004_46	48	517	0.0009	13.2	35536	35679	MWMI01000004	46	0.8541666666666666	0.0735009671179884	1
Cas12f2_1_CAS-V-F	MWMI01000001_118	54	422	0.0013	13.1	101091	101252	MWMI01000001	118	0.5	0.07109004739336493	1
Cas12f2_1_CAS-V-F	MWMI01000002_7	58	422	0.0011	13.3	4220	4393	MWMI01000002	7	0.5344827586206896	0.07109004739336493	-1
Cas12f2_1_CAS-V-F	MWMI01000004_26	58	422	0.0071	10.7	20810	20983	MWMI01000004	26	0.6724137931034483	0.08293838862559241	-1
Cas12f2_1_CAS-V-F	MWMI01000009_3	106	422	0.0048	11.3	1825	2142	MWMI01000009	3	0.6320754716981132	0.06635071090047394	1
Cas12m_0_V-M	MWMI01000001_81	287	577	1.6	2.3	68141	69001	MWMI01000001	81	0.45993031358885017	0.1663778162911612	1
Cas1_0_CAS-I-II-III-IV-V-VI	MWMI01000002_50	337	317	7.7e-84	276.7	44554	45564	MWMI01000002	50	0.9554896142433235	0.9936908517350158	1
Cas1_0_CAS-III-B	MWMI01000002_50	337	266	0.0015	13.4	44554	45564	MWMI01000002	50	0.2997032640949555	0.37969924812030076	1
Cas1_0_I-II-III	MWMI01000002_50	337	327	1.3e-79	262.9	44554	45564	MWMI01000002	50	0.973293768545994	0.9969418960244648	1
Cas1_0_I-II-III-V	MWMI01000002_50	337	315	6.1e-68	224.3	44554	45564	MWMI01000002	50	0.9525222551928784	0.9904761904761905	1
Cas1_0_IA	MWMI01000002_50	337	347	2.5e-27	90.9	44554	45564	MWMI01000002	50	0.857566765578635	0.829971181556196	1
Cas1_0_IC	MWMI01000002_50	337	340	2.3e-36	120.9	44554	45564	MWMI01000002	50	0.9495548961424333	0.95	1
Cas1_0_IE	MWMI01000002_50	337	269	1.4e-12	42.7	44554	45564	MWMI01000002	50	0.5786350148367952	0.7026022304832714	1
Cas1_0_IF	MWMI01000002_50	337	307	4.9e-06	21.4	44554	45564	MWMI01000002	50	0.7270029673590505	0.8241042345276873	1
Cas1_0_II	MWMI01000002_50	337	278	2.4e-13	45.3	44554	45564	MWMI01000002	50	0.8189910979228486	0.9064748201438849	1
Cas1_0_V	MWMI01000002_50	337	317	7.9e-11	36.8	44554	45564	MWMI01000002	50	0.7893175074183977	0.7917981072555205	1
Cas1_1_CAS-I-II-III-IV-V-VI	MWMI01000002_50	337	261	1.7e-61	203.1	44554	45564	MWMI01000002	50	0.7863501483679525	0.9961685823754789	1
Cas1_2_CAS-I-II-III-IV-V-VI	MWMI01000002_50	337	306	2.4e-06	22.3	44554	45564	MWMI01000002	50	0.7210682492581603	0.8169934640522876	1
Cas1_3_CAS-I-II-III-IV-V-VI	MWMI01000002_50	337	262	1.2e-12	42.9	44554	45564	MWMI01000002	50	0.5816023738872403	0.7251908396946565	1
Cas1_4_CAS-I-II-III-IV-V-VI	MWMI01000002_50	337	275	1.6e-13	45.8	44554	45564	MWMI01000002	50	0.8219584569732937	0.9127272727272727	1
Cas1_5_CAS-I-II-III-IV-V-VI	MWMI01000002_50	337	338	2.4e-36	120.8	44554	45564	MWMI01000002	50	0.9495548961424333	0.9556213017751479	1
Cas1_6_CAS-I-II-III-IV-V-VI	MWMI01000002_50	337	320	5.1e-102	336.6	44554	45564	MWMI01000002	50	0.9821958456973294	1.0	1
Cas1_7_CAS-I-II-III-IV-V-VI	MWMI01000002_50	337	328	2.4e-78	258.8	44554	45564	MWMI01000002	50	0.9910979228486647	0.9878048780487805	1
Cas1_8_CAS-I-II-III-IV-V-VI	MWMI01000002_50	337	283	6.700000000000001e-71	234.0	44554	45564	MWMI01000002	50	0.8516320474777448	0.9929328621908127	1
Cas2_0_CAS-I-II-III-IV-V-VI	MWMI01000002_49	88	90	6.4e-15	50.7	44244	44507	MWMI01000002	49	0.7613636363636364	0.7888888888888889	-1
Cas2_0_I-II-III	MWMI01000002_49	88	96	8.7e-14	46.9	44244	44507	MWMI01000002	49	0.7840909090909091	0.7708333333333334	-1
Cas2_0_I-II-III-V	MWMI01000002_49	88	83	4.9e-19	63.8	44244	44507	MWMI01000002	49	0.875	0.963855421686747	-1
Cas2_11_CAS-I-II-III-IV-V-VI	MWMI01000002_49	88	71	5.7e-21	69.9	44244	44507	MWMI01000002	49	0.7613636363636364	0.9436619718309859	-1
Cas2_2_CAS-I-II-III-IV-V-VI	MWMI01000002_49	88	79	5.6999999999999995e-25	82.7	44244	44507	MWMI01000002	49	0.8636363636363636	0.9620253164556962	-1
Cas2_4_CAS-I-II-III-IV-V-VI	MWMI01000002_49	88	89	3.2000000000000003e-23	77.2	44244	44507	MWMI01000002	49	0.9090909090909091	0.9101123595505618	-1
Cas2_6_CAS-I-II-III-IV-V-VI	MWMI01000002_49	88	90	9.8e-06	21.3	44244	44507	MWMI01000002	49	0.7386363636363636	0.7111111111111111	-1
Cas2_7_CAS-I-II-III-IV-V-VI	MWMI01000002_49	88	94	6.9e-10	34.6	44244	44507	MWMI01000002	49	0.7840909090909091	0.7553191489361702	-1
Cas3-Cas2_0_CAS-I-F	MWMI01000002_54	809	1106	6.5e-10	32.7	48798	51224	MWMI01000002	54	0.18788627935723115	0.13291139240506328	1
Cas3-Cas2_0_IF	MWMI01000002_54	809	1110	6.8e-10	32.6	48798	51224	MWMI01000002	54	0.23980222496909764	0.16936936936936936	1
Cas3HD_0_CAS-I	MWMI01000002_34	251	203	0.0041	12.3	27782	28534	MWMI01000002	34	0.33067729083665337	0.37438423645320196	1
Cas3HD_0_CAS-I	MWMI01000002_54	809	203	4e-14	48.2	48798	51224	MWMI01000002	54	0.33127317676143386	0.8620689655172413	1
Cas3HD_1_CAS-I	MWMI01000002_54	809	191	5.1e-05	18.5	48798	51224	MWMI01000002	54	0.242274412855377	0.6596858638743456	1
Cas3_0_CAS-I	MWMI01000001_198	867	353	8.4e-18	59.8	169840	172440	MWMI01000001	198	0.37139561707035756	0.9121813031161473	1
Cas3_0_CAS-I	MWMI01000002_54	809	353	8.100000000000001e-65	214.5	48798	51224	MWMI01000002	54	0.44499381953028433	0.9886685552407932	1
Cas3_0_CAS-I	MWMI01000003_42	338	353	0.00051	14.5	31416	32429	MWMI01000003	42	0.3816568047337278	0.3626062322946176	-1
Cas3_0_CAS-I	MWMI01000003_62	579	353	1.6e-07	26.1	50387	52123	MWMI01000003	62	0.11226252158894647	0.18413597733711048	1
Cas3_0_CAS-I	MWMI01000006_19	737	353	7.2e-12	40.3	16457	18667	MWMI01000006	19	0.4871099050203528	0.9886685552407932	-1
Cas3_0_CAS-I	MWMI01000008_3	382	353	1.4e-19	65.7	947	2092	MWMI01000008	3	0.8821989528795812	0.9490084985835694	-1
Cas3_0_CAS-I-D	MWMI01000002_54	809	626	3.1e-09	30.8	48798	51224	MWMI01000002	54	0.4252163164400494	0.5	1
Cas3_0_CAS-I-D	MWMI01000003_62	579	626	1.9e-06	21.6	50387	52123	MWMI01000003	62	0.19861830742659758	0.1805111821086262	1
