Contig	Start	End	Strand	Pos
JAGXOA010000001	258	767	1	1
JAGXOA010000001	812	1267	-1	2
JAGXOA010000001	1400	1816	-1	3
JAGXOA010000001	1821	4127	-1	4
JAGXOA010000001	4245	4634	-1	5
JAGXOA010000001	4947	5234	-1	6
JAGXOA010000001	5782	6645	1	7
JAGXOA010000001	6946	7404	1	8
JAGXOA010000001	7414	8127	-1	9
JAGXOA010000001	8146	8559	-1	10
JAGXOA010000001	8655	9749	-1	11
JAGXOA010000001	10070	10486	1	12
JAGXOA010000001	10526	11503	-1	13
JAGXOA010000001	11507	12364	-1	14
JAGXOA010000001	12652	13869	1	15
JAGXOA010000001	13913	14854	1	16
JAGXOA010000001	15116	15901	1	17
JAGXOA010000001	16112	17308	1	18
JAGXOA010000001	17705	18541	1	19
JAGXOA010000002	3	107	1	1
JAGXOA010000002	136	942	1	2
JAGXOA010000002	1082	1519	1	3
JAGXOA010000003	342	1604	-1	1
JAGXOA010000003	1934	2152	1	2
JAGXOA010000003	2329	3402	1	3
JAGXOA010000003	3560	3874	1	4
JAGXOA010000003	3988	5898	1	5
JAGXOA010000003	5895	6815	-1	6
JAGXOA010000004	3	359	-1	1
JAGXOA010000004	466	1203	-1	2
JAGXOA010000004	1693	1983	1	3
JAGXOA010000005	2	103	-1	1
JAGXOA010000005	535	1569	1	2
JAGXOA010000006	345	1001	-1	1
JAGXOA010000006	1133	2518	-1	2
JAGXOA010000006	2526	3572	-1	3
JAGXOA010000006	3593	4591	-1	4
JAGXOA010000006	4885	5346	-1	5
JAGXOA010000006	5782	6066	-1	6
JAGXOA010000006	6305	6625	-1	7
JAGXOA010000006	6920	7147	1	8
JAGXOA010000006	7197	10310	-1	9
JAGXOA010000006	10453	10845	-1	10
JAGXOA010000006	11025	14282	1	11
JAGXOA010000006	14445	15581	1	12
JAGXOA010000006	15654	16376	-1	13
JAGXOA010000006	16892	17437	-1	14
JAGXOA010000006	17715	18545	1	15
JAGXOA010000006	18553	20958	-1	16
JAGXOA010000006	20959	21231	-1	17
JAGXOA010000006	21579	23351	-1	18
JAGXOA010000006	23648	32824	-1	19
JAGXOA010000006	33217	33624	-1	20
JAGXOA010000006	34155	35132	1	21
JAGXOA010000006	35181	36194	-1	22
JAGXOA010000007	1	330	1	1
JAGXOA010000007	792	2192	1	2
JAGXOA010000007	2185	3729	1	3
JAGXOA010000008	267	998	1	1
JAGXOA010000008	1001	3472	-1	2
JAGXOA010000008	3708	4184	1	3
JAGXOA010000008	4972	5613	-1	4
JAGXOA010000008	5940	6815	-1	5
JAGXOA010000008	6805	8430	-1	6
JAGXOA010000008	8541	8903	-1	7
JAGXOA010000008	9015	9599	1	8
JAGXOA010000008	9652	10392	1	9
JAGXOA010000008	10834	12030	-1	10
JAGXOA010000008	12041	12667	-1	11
JAGXOA010000008	12803	14026	1	12
JAGXOA010000008	14084	15265	-1	13
JAGXOA010000008	15617	16999	-1	14
JAGXOA010000008	17149	21243	1	15
