Contig	Start	End	Strand	Pos
JASGVX010000001	330	1061	1	1
JASGVX010000001	1474	2835	1	2
JASGVX010000001	3203	3757	-1	3
JASGVX010000001	3750	5393	-1	4
JASGVX010000001	5835	6455	-1	5
JASGVX010000001	6546	6995	-1	6
JASGVX010000001	7277	8311	-1	7
JASGVX010000001	9012	9869	1	8
JASGVX010000001	9948	10685	1	9
JASGVX010000001	10959	12122	1	10
JASGVX010000001	12491	13717	1	11
JASGVX010000001	13714	14079	1	12
JASGVX010000001	14138	14716	1	13
JASGVX010000001	14749	14934	1	14
JASGVX010000001	14936	15523	1	15
JASGVX010000001	15504	15797	1	16
JASGVX010000001	15832	15981	1	17
JASGVX010000001	16400	16702	1	18
JASGVX010000002	2	106	-1	1
JASGVX010000002	773	2074	1	2
JASGVX010000002	2305	3078	1	3
JASGVX010000002	3812	3997	-1	4
JASGVX010000002	4016	6508	-1	5
JASGVX010000002	7230	8303	1	6
JASGVX010000002	8303	9439	1	7
JASGVX010000002	9910	10599	-1	8
JASGVX010000002	10922	11758	1	9
JASGVX010000002	11880	12554	1	10
JASGVX010000002	12567	12686	-1	11
JASGVX010000002	13402	14139	-1	12
JASGVX010000002	14760	16037	-1	13
JASGVX010000002	17119	17388	-1	14
JASGVX010000002	17469	17639	-1	15
JASGVX010000002	17832	18509	-1	16
JASGVX010000002	18585	19691	-1	17
JASGVX010000002	19646	20602	-1	18
JASGVX010000002	21108	21554	1	19
JASGVX010000002	21707	22297	1	20
JASGVX010000002	22647	24509	1	21
JASGVX010000002	24613	25767	1	22
JASGVX010000002	26251	27597	1	23
JASGVX010000002	27951	29297	1	24
JASGVX010000002	29183	29455	-1	25
JASGVX010000002	29536	30969	1	26
JASGVX010000002	31171	32601	1	27
JASGVX010000002	32723	33946	-1	28
JASGVX010000002	33943	34071	-1	29
JASGVX010000002	34581	34691	-1	30
JASGVX010000002	34654	36171	-1	31
JASGVX010000002	36244	36465	-1	32
JASGVX010000002	37538	38164	-1	33
JASGVX010000002	38259	39413	-1	34
JASGVX010000002	39470	40534	-1	35
JASGVX010000002	40531	41808	-1	36
JASGVX010000002	41805	41966	-1	37
JASGVX010000002	43736	44458	1	38
JASGVX010000003	164	583	-1	1
JASGVX010000003	1080	1502	1	2
JASGVX010000003	1938	4865	1	3
JASGVX010000003	5263	5721	-1	4
JASGVX010000003	6096	6821	-1	5
JASGVX010000003	7347	8129	1	6
JASGVX010000003	8379	9260	1	7
JASGVX010000003	10322	11653	1	8
JASGVX010000003	11755	12297	-1	9
JASGVX010000003	12710	13555	1	10
JASGVX010000003	13650	14792	1	11
JASGVX010000003	14950	15678	1	12
JASGVX010000003	15675	16517	1	13
JASGVX010000003	16514	17935	1	14
JASGVX010000003	18006	19538	1	15
JASGVX010000003	20209	21330	1	16
JASGVX010000003	21346	22416	1	17
JASGVX010000003	22413	23291	1	18
JASGVX010000003	23459	24127	-1	19
JASGVX010000003	24175	24447	1	20
JASGVX010000003	24315	25493	-1	21
JASGVX010000003	25771	26394	-1	22
JASGVX010000003	27625	27885	-1	23
JASGVX010000003	27986	28108	-1	24
JASGVX010000003	28218	29156	-1	25
JASGVX010000003	29158	32358	-1	26
JASGVX010000003	32631	32978	1	27
JASGVX010000003	33281	36022	-1	28
JASGVX010000003	36845	37036	1	29
JASGVX010000003	37321	39144	-1	30
JASGVX010000003	39131	40615	-1	31
JASGVX010000003	40882	41532	1	32
JASGVX010000003	42111	44609	-1	33
JASGVX010000003	44840	45043	1	34
JASGVX010000003	45531	46583	1	35
JASGVX010000003	46988	47473	1	36
JASGVX010000003	48008	48931	1	37
JASGVX010000003	48973	49923	-1	38
JASGVX010000003	50081	50272	-1	39
JASGVX010000003	50885	51478	-1	40
JASGVX010000003	51823	53061	1	41
JASGVX010000003	53290	53889	1	42
JASGVX010000003	54135	54593	-1	43
JASGVX010000003	55499	55870	1	44
JASGVX010000003	56583	57326	-1	45
JASGVX010000003	57883	58536	-1	46
JASGVX010000003	58975	59562	-1	47
JASGVX010000003	60593	61240	-1	48
JASGVX010000003	61736	61873	1	49
JASGVX010000003	61925	62584	-1	50
JASGVX010000003	63353	63850	-1	51
JASGVX010000003	64276	64878	1	52
JASGVX010000003	64976	66988	-1	53
