Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
RIZB01000001	RIZB01000001@7	656016	656900	False	0%	NA	III-B	1.0	['htpX_0_CAS-III-B']	[674]	['5.90e-16']	[0.702]	[0.606]	NA	NA
RIZB01000001	RIZB01000001@8	758939	760999	False	20%	0%	I-D	4.0	['Cas3_1_CAS-I-D']	[790]	['7.80e-04']	[0.323]	[0.569]	-1	NA
RIZB01000003	RIZB01000003@10	527337	527759	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[477]	['8.40e-05']	[0.511]	[0.627]	NA	NA
RIZB01000001	RIZB01000001@5	492313	495296	False	0%	NA	III-C	2.0	['Cas4_0_I-II', 'AbiEii_0_CAS-III']	[508, 512]	['7.00e-09', '1.70e-06']	[0.926, 0.474]	[0.989, 0.37]	NA	NA
RIZB01000001	RIZB01000001@17	1377762	1380605	False	14%	0%	I-A	1.0	['Cas3_0_I']	[1460]	['1.30e-16']	[0.331]	[0.883]	-1	NA
RIZB01000001	RIZB01000001@25	1702069	1702434	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[1767]	['1.00e-05']	[0.598]	[0.644]	NA	NA
RIZB01000003	RIZB01000003@4	170594	171466	False	29%	0%	I-A	2.0	['Cas3HD_0_CAS-I']	[149]	['7.60e-03']	[0.323]	[0.315]	-1	NA
RIZB01000001	RIZB01000001@12	1078725	1079618	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[1144]	['8.80e-03']	[0.356]	[0.463]	NA	NA
RIZB01000002	RIZB01000002@4	154266	156359	False	0%	NA	IV-B	3.0	['Csa3_1_CAS-I-II-III-IV-V-VI', 'CysH_0_IVB']	[147, 149]	['5.10e-03', '2.70e-08']	[0.717, 0.546]	[0.551, 0.558]	NA	NA
RIZB01000001	RIZB01000001@28	1842621	1842875	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[1926]	['6.40e-05']	[0.518]	[0.373]	NA	NA
RIZB01000006	RIZB01000006@1	1	294	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[1]	['1.20e-03']	[0.673]	[0.585]	NA	NA
RIZB01000001	RIZB01000001@1	44841	45167	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[48]	['5.40e-05']	[0.679]	[0.661]	NA	NA
RIZB01000001	RIZB01000001@14	1314644	1315879	False	0%	NA	IV-B	3.0	['CysH_0_IVB']	[1381]	['3.20e-04']	[0.362]	[0.574]	NA	NA
RIZB01000001	RIZB01000001@21	1446509	1447789	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI', 'Csa3_1_CAS-I-II-III-IV-V-VI']	[1531, 1533]	['1.40e-07', '5.40e-10']	[0.612, 0.741]	[0.568, 0.678]	NA	NA
RIZB01000001	RIZB01000001@3	192535	193137	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[196]	['1.40e-05']	[0.368]	[0.398]	NA	NA
RIZB01000001	RIZB01000001@22	1487519	1488355	False	14%	0%	I-A	1.0	['Cas3_1_I']	[1583]	['8.70e-03']	[0.344]	[0.433]	1	NA
RIZB01000001	RIZB01000001@30	1874661	1875011	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[1969]	['6.00e-03']	[0.402]	[0.432]	NA	NA
RIZB01000001	RIZB01000001@26	1710788	1711282	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[1776]	['4.50e-03']	[0.43]	[0.508]	NA	NA
RIZB01000003	RIZB01000003@9	474432	474863	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[419]	['8.00e-03']	[0.347]	[0.381]	NA	NA
RIZB01000001	RIZB01000001@6	527396	529606	False	20%	NA	IV-A1	2.0	['Csf4_0_IVA']	[542]	['2.10e-23']	[0.448]	[0.498]	1	NA
RIZB01000001	RIZB01000001@29	1855860	1856312	False	0%	0%	I-A	0.0	['CasR_0_CAS-I-II-III-IV-V-VI']	[1938]	['1.00e-03']	[0.45]	[0.348]	NA	NA
RIZB01000001	RIZB01000001@18	1413737	1417953	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III', 'Csa3_1_CAS-I-II-III-IV-V-VI']	[1501, 1504]	['2.00e-06', '6.80e-10']	[0.366, 0.305]	[0.331, 0.653]	NA	NA
RIZB01000001	RIZB01000001@4	352348	353250	False	0%	NA	III-B	1.0	['htpX_0_CAS-III-B']	[365]	['5.20e-10']	[0.435]	[0.382]	NA	NA
RIZB01000001	RIZB01000001@32	1952320	1953395	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI', 'Csa3_1_CAS-I-II-III-IV-V-VI', 'Csa3_1_CAS-I-II-III-IV-V-VI']	[2060, 2061, 2062]	['3.50e-04', '2.10e-03', '2.40e-04']	[0.636, 0.534, 0.626]	[0.525, 0.398, 0.644]	NA	NA
