Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	JAGXOA010000017_5	623	284	3.8e-05	20.9	3703	5571	JAGXOA010000017	5	0.20706260032102727	0.2605633802816901	1
AbiEii_0_CAS-III	JAGXOA010000020_12	315	284	0.0023	15.0	8832	9776	JAGXOA010000020	12	0.26666666666666666	0.28169014084507044	1
AbiEii_0_CAS-III	JAGXOA010000030_5	184	284	0.00088	16.4	3525	4076	JAGXOA010000030	5	0.5054347826086957	0.22183098591549297	1
AbiEii_0_CAS-III	JAGXOA010000047_14	200	284	0.033	11.2	17218	17817	JAGXOA010000047	14	0.355	0.28169014084507044	-1
AbiEii_0_CAS-III	JAGXOA010000047_17	626	284	0.015	12.4	19099	20976	JAGXOA010000047	17	0.12300319488817892	0.24295774647887325	-1
AbiEii_0_CAS-III	JAGXOA010000051_5	331	284	1.1e-08	32.5	2763	3755	JAGXOA010000051	5	0.5196374622356495	0.5492957746478874	-1
AbiEii_0_CAS-III	JAGXOA010000052_17	442	284	3.9e-06	24.1	15058	16383	JAGXOA010000052	17	0.14027149321266968	0.2147887323943662	1
AbiEii_0_CAS-III	JAGXOA010000065_38	247	284	0.0016	15.6	37124	37864	JAGXOA010000065	38	0.41700404858299595	0.3591549295774648	1
AbiEii_0_CAS-III	JAGXOA010000101_10	271	284	8.9e-08	29.5	6388	7200	JAGXOA010000101	10	0.4317343173431734	0.4119718309859155	-1
AbiEii_0_CAS-III	JAGXOA010000101_22	256	284	1.5e-05	22.2	17826	18593	JAGXOA010000101	22	0.48828125	0.3732394366197183	1
AbiEii_0_CAS-III	JAGXOA010000108_2	338	284	0.00079	16.6	1819	2832	JAGXOA010000108	2	0.09171597633136094	0.1056338028169014	1
AbiEii_0_CAS-III	JAGXOA010000122_2	235	284	5.1e-06	23.7	857	1561	JAGXOA010000122	2	0.42127659574468085	0.3345070422535211	-1
AbiEii_0_CAS-III	JAGXOA010000123_2	322	284	2.7e-05	21.4	674	1639	JAGXOA010000123	2	0.3136645962732919	0.352112676056338	-1
AbiEii_0_CAS-III	JAGXOA010000132_48	338	284	6.6e-10	36.5	44119	45132	JAGXOA010000132	48	0.28402366863905326	0.3204225352112676	-1
AbiEii_0_CAS-III	JAGXOA010000141_11	362	284	5.2e-08	30.3	8868	9953	JAGXOA010000141	11	0.3011049723756906	0.3626760563380282	1
AbiEii_0_CAS-III	JAGXOA010000141_13	363	284	2.2e-07	28.2	10966	12054	JAGXOA010000141	13	0.23415977961432508	0.28169014084507044	1
AbiEii_0_CAS-III	JAGXOA010000141_17	279	284	6.8e-05	20.1	18065	18901	JAGXOA010000141	17	0.22580645161290322	0.2112676056338028	1
AbiEii_0_CAS-III	JAGXOA010000141_18	252	284	0.00064	16.9	18904	19659	JAGXOA010000141	18	0.4801587301587302	0.397887323943662	1
AbiEii_0_CAS-III	JAGXOA010000141_33	1155	284	1e-05	22.8	29420	32884	JAGXOA010000141	33	0.07705627705627706	0.3204225352112676	-1
AbiEii_0_CAS-III	JAGXOA010000145_17	744	284	0.0012	15.9	15437	17668	JAGXOA010000145	17	0.05241935483870968	0.07042253521126761	-1
AbiEii_0_CAS-III	JAGXOA010000156_24	755	284	4.6e-05	20.6	23184	25448	JAGXOA010000156	24	0.12317880794701987	0.25	-1
AbiEii_0_CAS-III	JAGXOA010000159_3	562	284	1.2e-08	32.4	1738	3423	JAGXOA010000159	3	0.35765124555160144	0.4295774647887324	1
AbiEii_0_CAS-III	JAGXOA010000168_3	84	284	2.8e-05	21.3	1522	1773	JAGXOA010000168	3	0.5119047619047619	0.1443661971830986	1
AbiEii_0_CAS-III	JAGXOA010000178_5	408	284	0.00017	18.8	3946	5169	JAGXOA010000178	5	0.22794117647058823	0.29225352112676056	-1
AbiEii_0_CAS-III	JAGXOA010000182_13	243	284	4.6e-07	27.2	13518	14246	JAGXOA010000182	13	0.448559670781893	0.3626760563380282	-1
AbiEii_0_CAS-III	JAGXOA010000192_47	308	284	7.3e-09	33.1	50713	51636	JAGXOA010000192	47	0.45454545454545453	0.4647887323943662	1
AbiEii_0_CAS-III	JAGXOA010000196_18	602	284	0.0016	15.6	14891	16696	JAGXOA010000196	18	0.19269102990033224	0.3345070422535211	1
AbiEii_0_CAS-III	JAGXOA010000198_2	226	284	1.5e-06	25.5	1105	1782	JAGXOA010000198	2	0.415929203539823	0.31690140845070425	-1
AbiEii_0_CAS-III	JAGXOA010000199_2	203	284	0.00068	16.8	1871	2479	JAGXOA010000199	2	0.3251231527093596	0.22887323943661972	1
AbiEii_0_CAS-III	JAGXOA010000202_18	231	284	0.001	16.2	13757	14449	JAGXOA010000202	18	0.49783549783549785	0.40492957746478875	-1
AbiEii_0_CAS-III	JAGXOA010000204_76	363	284	2.1e-06	25.0	93525	94613	JAGXOA010000204	76	0.36363636363636365	0.4788732394366197	1
AbiEii_0_CAS-III	JAGXOA010000216_11	663	284	0.016	12.2	12243	14231	JAGXOA010000216	11	0.058823529411764705	0.07042253521126761	1
AbiEii_0_CAS-III	JAGXOA010000217_18	87	284	0.0032	14.6	16196	16456	JAGXOA010000217	18	0.5287356321839081	0.15492957746478872	1
AbiEii_0_CAS-III	JAGXOA010000218_18	341	284	5e-07	27.1	15417	16439	JAGXOA010000218	18	0.2785923753665689	0.31690140845070425	1
AbiEii_0_CAS-III	JAGXOA010000223_3	194	284	0.0012	16.0	2603	3184	JAGXOA010000223	3	0.16494845360824742	0.10915492957746478	1
AbiEii_0_CAS-III	JAGXOA010000229_14	239	284	0.00026	18.1	10248	10964	JAGXOA010000229	14	0.41422594142259417	0.33098591549295775	1
AbiEii_0_CAS-III	JAGXOA010000242_4	413	284	0.0003	17.9	2210	3448	JAGXOA010000242	4	0.19128329297820823	0.27816901408450706	-1
AbiEii_0_CAS-III	JAGXOA010000266_26	904	284	9e-05	19.7	32831	35542	JAGXOA010000266	26	0.2168141592920354	0.6126760563380281	1
AbiEii_0_CAS-III	JAGXOA010000272_8	267	284	3.1e-06	24.4	9104	9904	JAGXOA010000272	8	0.4044943820224719	0.36619718309859156	-1
AbiEii_1_CAS-III-A	JAGXOA010000006_1	219	335	0.54	6.8	345	1001	JAGXOA010000006	1	0.5159817351598174	0.33134328358208953	-1
