Contig	Start	End	Strand	Pos
JAGGYF010000001	3	2810	1	1
JAGGYF010000001	2850	7124	1	2
JAGGYF010000001	7125	7436	-1	3
JAGGYF010000001	7486	8358	-1	4
JAGGYF010000001	8457	9704	1	5
JAGGYF010000001	9955	11619	-1	6
JAGGYF010000001	11645	12313	-1	7
JAGGYF010000001	12357	12647	-1	8
JAGGYF010000001	12756	12935	1	9
JAGGYF010000001	13018	13479	1	10
JAGGYF010000001	13476	14096	-1	11
JAGGYF010000001	14171	14731	1	12
JAGGYF010000001	14904	15989	1	13
JAGGYF010000001	16108	16968	1	14
JAGGYF010000001	16969	17349	-1	15
JAGGYF010000001	17732	18115	1	16
JAGGYF010000001	18115	18342	1	17
JAGGYF010000001	18450	18560	1	18
JAGGYF010000002	1	645	-1	1
JAGGYF010000002	876	4097	-1	2
JAGGYF010000002	4171	4608	-1	3
JAGGYF010000002	4756	5229	1	4
JAGGYF010000002	5216	5611	-1	5
JAGGYF010000002	5707	6912	1	6
JAGGYF010000002	7053	7727	-1	7
JAGGYF010000002	7721	9013	-1	8
JAGGYF010000002	9137	9721	1	9
JAGGYF010000002	9826	10728	1	10
JAGGYF010000002	10729	11172	1	11
JAGGYF010000002	11164	11523	-1	12
JAGGYF010000002	11886	12107	1	13
JAGGYF010000002	12104	12370	1	14
JAGGYF010000002	12376	13491	-1	15
JAGGYF010000002	13488	14363	-1	16
JAGGYF010000002	14424	14633	1	17
JAGGYF010000002	14630	18157	-1	18
JAGGYF010000002	18226	18708	1	19
JAGGYF010000002	18694	20157	-1	20
JAGGYF010000002	20253	20708	1	21
JAGGYF010000002	20703	21320	-1	22
JAGGYF010000002	21325	21903	-1	23
JAGGYF010000002	21904	22263	-1	24
JAGGYF010000002	22260	22649	-1	25
JAGGYF010000002	22649	22984	-1	26
JAGGYF010000002	22984	23271	-1	27
JAGGYF010000002	23282	23518	-1	28
JAGGYF010000002	23559	23924	-1	29
JAGGYF010000002	23927	24298	-1	30
JAGGYF010000002	24395	25159	1	31
JAGGYF010000002	25292	26164	-1	32
JAGGYF010000002	26164	26577	-1	33
JAGGYF010000002	26736	27035	1	34
JAGGYF010000002	27017	27472	1	35
JAGGYF010000002	27579	28001	-1	36
JAGGYF010000002	27998	28540	-1	37
JAGGYF010000002	28564	29484	-1	38
JAGGYF010000002	29516	30028	-1	39
JAGGYF010000002	30025	30651	-1	40
JAGGYF010000002	30842	31474	-1	41
JAGGYF010000002	31455	32003	-1	42
JAGGYF010000002	32054	32449	-1	43
JAGGYF010000002	32455	32640	-1	44
JAGGYF010000002	32665	43560	-1	45
JAGGYF010000002	43631	51259	-1	46
JAGGYF010000002	51265	54399	-1	47
JAGGYF010000003	1	1881	1	1
JAGGYF010000003	2144	2569	1	2
JAGGYF010000003	2620	3804	1	3
JAGGYF010000003	3801	4313	1	4
JAGGYF010000003	4362	5150	1	5
JAGGYF010000003	5173	5478	-1	6
JAGGYF010000003	5475	5990	-1	7
JAGGYF010000003	5977	7278	-1	8
JAGGYF010000003	7323	7442	-1	9
JAGGYF010000003	7456	7830	-1	10
JAGGYF010000003	8122	12789	1	11
JAGGYF010000003	12782	13363	1	12
JAGGYF010000003	13613	15601	1	13
JAGGYF010000003	15622	16002	1	14
JAGGYF010000003	16019	16186	1	15
JAGGYF010000003	16176	16811	-1	16
JAGGYF010000003	16789	17646	-1	17
JAGGYF010000003	17731	18057	1	18
JAGGYF010000003	18070	18477	1	19
JAGGYF010000003	18470	18904	-1	20
JAGGYF010000003	18905	20131	-1	21
JAGGYF010000003	20204	20659	1	22
JAGGYF010000003	20986	21642	1	23
JAGGYF010000003	21713	26641	1	24
JAGGYF010000003	26652	26792	-1	25
JAGGYF010000003	26843	27601	1	26
JAGGYF010000003	27627	28463	1	27
JAGGYF010000003	28460	29221	-1	28
JAGGYF010000003	29347	29670	1	29
JAGGYF010000003	29650	29892	-1	30
JAGGYF010000003	29903	30325	1	31
JAGGYF010000003	30330	30536	1	32
JAGGYF010000003	30588	31229	1	33
JAGGYF010000003	31218	32660	-1	34
JAGGYF010000003	32675	33694	-1	35
JAGGYF010000003	33691	34596	-1	36
JAGGYF010000003	34593	34820	-1	37
JAGGYF010000003	34858	35955	1	38
JAGGYF010000003	36297	37052	1	39
JAGGYF010000004	9	356	-1	1
JAGGYF010000004	343	1044	-1	2
JAGGYF010000004	1141	2307	1	3
JAGGYF010000004	2337	3140	1	4
JAGGYF010000004	3456	4163	1	5
JAGGYF010000004	4205	4432	-1	6
JAGGYF010000004	4429	4707	-1	7
JAGGYF010000004	4942	5193	1	8
JAGGYF010000005	3	3221	1	1
JAGGYF010000005	3403	4593	1	2
JAGGYF010000005	4643	7324	1	3
JAGGYF010000006	24	671	1	1
JAGGYF010000006	723	1832	1	2
JAGGYF010000006	1876	3741	1	3
JAGGYF010000006	3906	4787	1	4
JAGGYF010000006	4784	5683	1	5
JAGGYF010000007	3	1976	-1	1
JAGGYF010000007	1996	2886	-1	2
JAGGYF010000007	2998	3234	-1	3
JAGGYF010000007	3388	4695	-1	4
JAGGYF010000007	4761	5351	1	5
JAGGYF010000007	5348	5917	1	6
JAGGYF010000007	5907	6485	1	7
JAGGYF010000007	6472	7209	1	8
JAGGYF010000007	7187	8350	1	9
JAGGYF010000007	8347	8925	-1	10
JAGGYF010000007	8966	9247	-1	11
JAGGYF010000007	9247	10092	-1	12
JAGGYF010000007	10102	10848	-1	13
JAGGYF010000007	10845	11570	-1	14
JAGGYF010000007	11570	12145	-1	15
JAGGYF010000007	12152	12490	-1	16
JAGGYF010000007	12502	12792	-1	17
JAGGYF010000007	12838	13248	1	18
JAGGYF010000007	13297	13566	1	19
JAGGYF010000007	14624	15505	-1	20
JAGGYF010000007	15549	16730	1	21
JAGGYF010000007	16727	17458	1	22
JAGGYF010000007	17494	18690	1	23
JAGGYF010000007	18807	21122	1	24
JAGGYF010000007	21188	21619	1	25
JAGGYF010000007	21706	22155	1	26
JAGGYF010000007	22195	22659	1	27
JAGGYF010000007	22706	23143	1	28
JAGGYF010000007	23193	25403	1	29
JAGGYF010000007	25404	26390	1	30
JAGGYF010000007	26390	27334	1	31
JAGGYF010000007	27344	27832	1	32
JAGGYF010000007	27829	28863	1	33
JAGGYF010000007	28868	29521	1	34
JAGGYF010000008	60	278	1	1
JAGGYF010000008	319	1416	1	2
JAGGYF010000008	1403	2158	-1	3
JAGGYF010000008	2188	2448	1	4
JAGGYF010000008	2423	2851	-1	5
JAGGYF010000008	2862	3593	-1	6
JAGGYF010000008	3643	3873	-1	7
JAGGYF010000008	3890	4927	-1	8
JAGGYF010000008	5098	5745	1	9
JAGGYF010000008	5785	6531	1	10
JAGGYF010000008	6528	7403	-1	11
JAGGYF010000008	7587	8030	-1	12
JAGGYF010000008	8214	8390	1	13
JAGGYF010000008	8430	11600	-1	14
JAGGYF010000009	134	520	-1	1
JAGGYF010000009	609	1724	-1	2
JAGGYF010000009	1721	3295	-1	3
JAGGYF010000009	3304	3831	-1	4
JAGGYF010000010	284	1111	-1	1
JAGGYF010000010	1368	1598	1	2
JAGGYF010000010	1599	1853	1	3
JAGGYF010000010	1953	2381	-1	4
JAGGYF010000010	2378	2923	-1	5
JAGGYF010000010	3038	3352	-1	6
JAGGYF010000010	3385	4287	-1	7
JAGGYF010000010	4319	4627	-1	8
JAGGYF010000010	4632	4808	-1	9
JAGGYF010000010	4805	5779	-1	10
JAGGYF010000010	6035	6337	-1	11
JAGGYF010000010	6389	6895	-1	12
JAGGYF010000010	6962	8107	1	13
JAGGYF010000010	8139	8759	1	14
JAGGYF010000010	8796	9098	1	15
JAGGYF010000010	9596	9823	1	16
JAGGYF010000010	9816	10130	1	17
JAGGYF010000010	10242	10547	1	18
JAGGYF010000010	10632	10982	-1	19
JAGGYF010000010	11247	11957	1	20
JAGGYF010000010	11939	13177	-1	21
JAGGYF010000010	13238	13438	-1	22
JAGGYF010000010	13440	14681	-1	23
JAGGYF010000010	14859	15104	1	24
JAGGYF010000011	2	862	1	1
JAGGYF010000011	837	2048	-1	2
JAGGYF010000011	2045	2881	-1	3
JAGGYF010000011	3036	3365	-1	4
JAGGYF010000011	3370	3603	-1	5
JAGGYF010000011	3600	4070	-1	6
JAGGYF010000011	4071	4199	-1	7
JAGGYF010000011	4202	4528	-1	8
JAGGYF010000011	4528	5316	-1	9
JAGGYF010000011	5317	6042	-1	10
JAGGYF010000011	6026	6673	-1	11
JAGGYF010000011	6694	7392	-1	12
JAGGYF010000011	7398	8117	-1	13
JAGGYF010000011	8190	9038	-1	14
JAGGYF010000011	9035	9355	-1	15
JAGGYF010000011	9352	9864	-1	16
JAGGYF010000011	9864	10178	-1	17
JAGGYF010000011	10312	10893	1	18
JAGGYF010000011	10898	11431	1	19
JAGGYF010000011	11428	12315	1	20
JAGGYF010000011	12312	12758	-1	21
JAGGYF010000012	3	536	-1	1
JAGGYF010000012	533	1183	-1	2
JAGGYF010000012	1246	2529	1	3
JAGGYF010000012	2526	3236	1	4
JAGGYF010000012	3226	3636	-1	5
JAGGYF010000012	3641	4798	-1	6
JAGGYF010000012	4795	5307	-1	7
JAGGYF010000012	5316	6353	-1	8
JAGGYF010000012	6448	7128	-1	9
JAGGYF010000012	7186	7677	-1	10
JAGGYF010000012	7733	8383	1	11
JAGGYF010000012	8388	8933	1	12
JAGGYF010000012	8960	9463	1	13
JAGGYF010000012	9451	10524	1	14
JAGGYF010000012	10529	11125	1	15
JAGGYF010000012	11115	11837	-1	16
JAGGYF010000012	11806	13158	-1	17
JAGGYF010000012	13198	13869	1	18
JAGGYF010000012	13879	15030	1	19
JAGGYF010000012	15085	17259	1	20
JAGGYF010000012	17236	18120	-1	21
JAGGYF010000012	18113	19270	-1	22
JAGGYF010000012	19267	19533	-1	23
JAGGYF010000012	19530	20069	-1	24
JAGGYF010000012	20147	20701	-1	25
JAGGYF010000012	20702	21934	-1	26
JAGGYF010000012	21974	22789	1	27
JAGGYF010000012	22767	24284	-1	28
JAGGYF010000012	24285	24578	-1	29
JAGGYF010000012	24579	25493	-1	30
JAGGYF010000012	25613	26725	1	31
JAGGYF010000012	26736	26894	1	32
JAGGYF010000012	26904	27350	1	33
JAGGYF010000012	27382	27684	1	34
JAGGYF010000012	27706	28749	-1	35
JAGGYF010000012	28746	28916	-1	36
JAGGYF010000013	40	306	1	1
JAGGYF010000013	372	632	1	2
