Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	RIZB01000001_1063	254	284	3.2e-06	24.4	1011337	1012098	RIZB01000001	1063	0.33070866141732286	0.29225352112676056	-1
AbiEii_0_CAS-III	RIZB01000001_1089	233	284	0.018	12.2	1036631	1037329	RIZB01000001	1089	0.37339055793991416	0.31338028169014087	-1
AbiEii_0_CAS-III	RIZB01000001_1092	742	284	0.00053	17.2	1039696	1041921	RIZB01000001	1092	0.05390835579514825	0.07042253521126761	1
AbiEii_0_CAS-III	RIZB01000001_1130	193	284	0.012	12.7	1065372	1065950	RIZB01000001	1130	0.15025906735751296	0.09507042253521127	1
AbiEii_0_CAS-III	RIZB01000001_126	304	284	0.0023	15.1	117804	118715	RIZB01000001	126	0.2993421052631579	0.30633802816901406	1
AbiEii_0_CAS-III	RIZB01000001_1371	759	284	6.8e-05	20.1	1302710	1304986	RIZB01000001	1371	0.06982872200263504	0.11267605633802817	1
AbiEii_0_CAS-III	RIZB01000001_1457	699	284	2.6e-06	24.7	1373845	1375941	RIZB01000001	1457	0.06437768240343347	0.0880281690140845	1
AbiEii_0_CAS-III	RIZB01000001_1501	268	284	2e-06	25.1	1413737	1414540	RIZB01000001	1501	0.3656716417910448	0.33098591549295775	1
AbiEii_0_CAS-III	RIZB01000001_1528	221	284	0.00011	19.3	1443978	1444640	RIZB01000001	1528	0.2895927601809955	0.22183098591549297	-1
AbiEii_0_CAS-III	RIZB01000001_1591	521	284	0.0013	15.9	1496707	1498269	RIZB01000001	1591	0.1708253358925144	0.29577464788732394	1
AbiEii_0_CAS-III	RIZB01000001_1735	379	284	8.3e-07	26.4	1675213	1676349	RIZB01000001	1735	0.29023746701846964	0.397887323943662	1
AbiEii_0_CAS-III	RIZB01000001_1794	255	284	1e-06	26.1	1728721	1729485	RIZB01000001	1794	0.2980392156862745	0.25704225352112675	-1
AbiEii_0_CAS-III	RIZB01000001_186	306	284	0.0018	15.4	179973	180890	RIZB01000001	186	0.3104575163398693	0.3204225352112676	-1
AbiEii_0_CAS-III	RIZB01000001_1928	895	284	3.3e-05	21.1	1844230	1846914	RIZB01000001	1928	0.1005586592178771	0.3345070422535211	1
AbiEii_0_CAS-III	RIZB01000001_1934	303	284	0.0004	17.6	1851537	1852445	RIZB01000001	1934	0.18811881188118812	0.19718309859154928	1
AbiEii_0_CAS-III	RIZB01000001_2	334	284	4.4e-07	27.3	2879	3880	RIZB01000001	2	0.25149700598802394	0.28169014084507044	1
AbiEii_0_CAS-III	RIZB01000001_2044	221	284	0.00018	18.7	1937450	1938112	RIZB01000001	2044	0.35294117647058826	0.2711267605633803	1
AbiEii_0_CAS-III	RIZB01000001_2051	291	284	0.00011	19.4	1943799	1944671	RIZB01000001	2051	0.29896907216494845	0.29225352112676056	1
AbiEii_0_CAS-III	RIZB01000001_302	334	284	0.00077	16.6	284497	285498	RIZB01000001	302	0.18562874251497005	0.2147887323943662	-1
AbiEii_0_CAS-III	RIZB01000001_38	307	284	2.5e-06	24.8	37244	38164	RIZB01000001	38	0.28338762214983715	0.2887323943661972	1
AbiEii_0_CAS-III	RIZB01000001_434	642	284	0.003	14.7	419375	421300	RIZB01000001	434	0.12305295950155763	0.2887323943661972	1
AbiEii_0_CAS-III	RIZB01000001_441	605	284	0.0091	13.1	427233	429047	RIZB01000001	441	0.20330578512396694	0.23591549295774647	1
AbiEii_0_CAS-III	RIZB01000001_485	624	284	0.0022	15.2	467161	469032	RIZB01000001	485	0.08012820512820513	0.176056338028169	-1
AbiEii_0_CAS-III	RIZB01000001_486	287	284	5.5e-07	26.9	469103	469963	RIZB01000001	486	0.2857142857142857	0.2887323943661972	-1
AbiEii_0_CAS-III	RIZB01000001_512	234	284	1.7e-06	25.4	494595	495296	RIZB01000001	512	0.47435897435897434	0.36971830985915494	1
AbiEii_0_CAS-III	RIZB01000001_535	449	284	0.013	12.6	521500	522846	RIZB01000001	535	0.1915367483296214	0.2992957746478873	1
AbiEii_0_CAS-III	RIZB01000001_612	347	284	0.013	12.6	592536	593576	RIZB01000001	612	0.2334293948126801	0.3028169014084507	1
AbiEii_0_CAS-III	RIZB01000001_622	216	284	0.0062	13.7	600567	601214	RIZB01000001	622	0.2962962962962963	0.2535211267605634	-1
AbiEii_0_CAS-III	RIZB01000001_850	438	284	0.011	12.8	816321	817634	RIZB01000001	850	0.1598173515981735	0.2535211267605634	1
AbiEii_0_CAS-III	RIZB01000002_123	265	284	7.1e-06	23.3	129305	130099	RIZB01000002	123	0.46037735849056605	0.4507042253521127	1
AbiEii_0_CAS-III	RIZB01000002_155	655	284	0.0095	13.0	160208	162172	RIZB01000002	155	0.15419847328244274	0.35563380281690143	1
AbiEii_0_CAS-III	RIZB01000002_18	392	284	1.4e-07	28.9	22696	23871	RIZB01000002	18	0.22193877551020408	0.3345070422535211	-1
AbiEii_0_CAS-III	RIZB01000002_26	310	284	2.3e-06	24.9	33201	34130	RIZB01000002	26	0.25483870967741934	0.2711267605633803	-1
AbiEii_0_CAS-III	RIZB01000002_409	244	284	1e-06	26.0	457262	457993	RIZB01000002	409	0.4918032786885246	0.4014084507042254	-1
AbiEii_0_CAS-III	RIZB01000002_433	264	284	0.00015	19.0	477669	478460	RIZB01000002	433	0.32954545454545453	0.2887323943661972	1
AbiEii_0_CAS-III	RIZB01000002_434	234	284	0.00014	19.0	478464	479165	RIZB01000002	434	0.36324786324786323	0.29225352112676056	1
AbiEii_0_CAS-III	RIZB01000002_526	371	284	0.051	10.6	581016	582128	RIZB01000002	526	0.22641509433962265	0.2852112676056338	1
AbiEii_0_CAS-III	RIZB01000003_17	370	284	0.0035	14.5	20439	21548	RIZB01000003	17	0.2	0.24295774647887325	1
AbiEii_0_CAS-III	RIZB01000003_18	343	284	0.0018	15.4	21545	22573	RIZB01000003	18	0.2915451895043732	0.352112676056338	1
AbiEii_0_CAS-III	RIZB01000003_239	391	284	0.00031	17.9	253948	255120	RIZB01000003	239	0.32225063938618925	0.4647887323943662	-1
AbiEii_0_CAS-III	RIZB01000003_300	430	284	0.016	12.3	319262	320551	RIZB01000003	300	0.06976744186046512	0.1056338028169014	1
AbiEii_0_CAS-III	RIZB01000003_316	607	284	0.0033	14.6	349699	351519	RIZB01000003	316	0.11367380560131796	0.19014084507042253	-1
AbiEii_0_CAS-III	RIZB01000003_396	418	284	0.0072	13.4	445359	446612	RIZB01000003	396	0.06937799043062201	0.10211267605633803	1
AbiEii_0_CAS-III	RIZB01000003_440	531	284	0.0071	13.5	492773	494365	RIZB01000003	440	0.11864406779661017	0.1443661971830986	1
AbiEii_0_CAS-III	RIZB01000003_85	328	284	0.00036	17.7	99153	100136	RIZB01000003	85	0.18292682926829268	0.20774647887323944	1
AbiEii_1_CAS-III-A	RIZB01000001_1063	254	335	1.2e-05	22.1	1011337	1012098	RIZB01000001	1063	0.3464566929133858	0.2656716417910448	-1
AbiEii_1_CAS-III-A	RIZB01000001_126	304	335	2.4e-06	24.5	117804	118715	RIZB01000001	126	0.28289473684210525	0.2626865671641791	1
AbiEii_1_CAS-III-A	RIZB01000001_1735	379	335	0.028	11.1	1675213	1676349	RIZB01000001	1735	0.08443271767810026	0.0955223880597015	1
AbiEii_1_CAS-III-A	RIZB01000001_186	306	335	2e-06	24.7	179973	180890	RIZB01000001	186	0.28431372549019607	0.2656716417910448	-1
AbiEii_1_CAS-III-A	RIZB01000001_1934	303	335	0.011	12.5	1851537	1852445	RIZB01000001	1934	0.1419141914191419	0.12238805970149254	1
AbiEii_1_CAS-III-A	RIZB01000001_2051	291	335	0.028	11.1	1943799	1944671	RIZB01000001	2051	0.3024054982817869	0.2656716417910448	1
AbiEii_1_CAS-III-A	RIZB01000001_38	307	335	0.016	11.8	37244	38164	RIZB01000001	38	0.09771986970684039	0.08955223880597014	1
AbiEii_1_CAS-III-A	RIZB01000001_486	287	335	0.015	12.0	469103	469963	RIZB01000001	486	0.08362369337979095	0.07164179104477612	-1
AbiEii_1_CAS-III-A	RIZB01000002_433	264	335	0.001	15.8	477669	478460	RIZB01000002	433	0.2840909090909091	0.22388059701492538	1
AbiEii_1_CAS-III-A	RIZB01000003_65	374	335	0.0058	13.3	75677	76798	RIZB01000003	65	0.09090909090909091	0.10149253731343283	1
AbiEii_2_CAS-III-C	RIZB01000001_1528	221	440	0.019	11.7	1443978	1444640	RIZB01000001	1528	0.35294117647058826	0.17727272727272728	-1
AbiEii_2_CAS-III-C	RIZB01000001_486	287	440	0.035	10.8	469103	469963	RIZB01000001	486	0.25435540069686413	0.16590909090909092	-1
Cas10_0_III	RIZB01000002_231	137	414	0.016	11.7	244269	244679	RIZB01000002	231	0.5182481751824818	0.16183574879227053	1
Cas10_0_IIIA	RIZB01000003_51	423	650	0.018	11.3	59848	61116	RIZB01000003	51	0.2553191489361702	0.16	1
Cas10_1_CAS-III	RIZB01000001_1118	53	654	0.014	11.5	1057733	1057891	RIZB01000001	1118	0.7169811320754716	0.06116207951070336	1
Cas10_1_CAS-III	RIZB01000003_400	86	654	0.013	11.6	453030	453287	RIZB01000003	400	0.38372093023255816	0.05045871559633028	1
Cas10_7_CAS-III	RIZB01000002_231	137	410	0.012	12.1	244269	244679	RIZB01000002	231	0.4233576642335766	0.14146341463414633	1
Cas10d_0_CAS-I-D	RIZB01000002_291	829	807	0.0	1287.9	309196	311682	RIZB01000002	291	0.97708082026538	0.9938042131350682	1
Cas10d_0_CAS-I-D	RIZB01000003_361	823	807	0.0	1347.6	407330	409798	RIZB01000003	361	0.976913730255164	0.9938042131350682	1
Cas10d_0_ID	RIZB01000002_291	829	946	0.00027	16.6	309196	311682	RIZB01000002	291	0.3172496984318456	0.29069767441860467	1
Cas10d_0_ID	RIZB01000003_361	823	946	7.1e-05	18.5	407330	409798	RIZB01000003	361	0.2503037667071689	0.226215644820296	1
Cas10d_1_CAS-I-D	RIZB01000002_271	870	886	0.037	9.6	282296	284905	RIZB01000002	271	0.12528735632183907	0.11851015801354402	-1
Cas10d_7_CAS-I-D	RIZB01000002_291	829	955	8.5e-07	25.0	309196	311682	RIZB01000002	291	0.14957780458383596	0.12774869109947645	1
Cas10d_7_CAS-I-D	RIZB01000003_361	823	955	6.5e-06	22.0	407330	409798	RIZB01000003	361	0.14823815309842042	0.1256544502617801	1
Cas11_1_IV	RIZB01000001_1586	698	122	0.017	13.0	1489575	1491668	RIZB01000001	1586	0.16332378223495703	0.5163934426229508	-1
Cas12a_0_CAS-V-A	RIZB01000001_1928	895	1244	1.8	3.7	1844230	1846914	RIZB01000001	1928	0.2681564245810056	0.11334405144694534	1
Cas12a_0_VA	RIZB01000002_493	654	1288	5.6	1.9	540353	542314	RIZB01000002	493	0.26299694189602446	0.06909937888198758	-1
Cas12a_1_CAS-V-A	RIZB01000001_1469	58	1086	0.059	8.8	1387292	1387465	RIZB01000001	1469	0.5172413793103449	0.03222836095764273	1
Cas12a_1_CAS-V-A	RIZB01000003_121	419	1086	0.023	10.1	139952	141208	RIZB01000003	121	0.11694510739856802	0.052486187845303865	-1
Cas12a_1_CAS-V-A	RIZB01000003_250	449	1086	0.0034	12.9	264484	265830	RIZB01000003	250	0.08908685968819599	0.04604051565377532	-1
Cas12a_1_CAS-V-A	RIZB01000003_425	185	1086	0.012	11.0	478740	479294	RIZB01000003	425	0.3675675675675676	0.06906077348066299	1
Cas12b1_0_CAS-V-B	RIZB01000003_425	185	1125	1.3e-05	20.8	478740	479294	RIZB01000003	425	0.5405405405405406	0.09955555555555555	1
Cas12b2_0_CAS-V-B	RIZB01000001_1405	95	747	0.047	9.6	1332646	1332930	RIZB01000001	1405	0.7578947368421053	0.09504685408299866	-1
Cas12b2_0_CAS-V-B	RIZB01000003_121	419	747	0.005	12.8	139952	141208	RIZB01000003	121	0.16706443914081145	0.09504685408299866	-1
Cas12b2_0_CAS-V-B	RIZB01000003_425	185	747	4.4e-10	36.1	478740	479294	RIZB01000003	425	0.5513513513513514	0.14323962516733602	1
Cas12b_0_VB	RIZB01000003_425	185	1130	0.00076	15.0	478740	479294	RIZB01000003	425	0.6432432432432432	0.10088495575221239	1
Cas12c_0_CAS-V-C	RIZB01000003_121	419	1272	0.0096	11.0	139952	141208	RIZB01000003	121	0.0954653937947494	0.0330188679245283	-1
Cas12c_0_CAS-V-C	RIZB01000003_389	696	1272	0.47	5.4	431713	433800	RIZB01000003	389	0.34339080459770116	0.15644654088050314	1
Cas12c_0_CAS-V-C	RIZB01000003_425	185	1272	0.00019	16.7	478740	479294	RIZB01000003	425	0.23783783783783785	0.03459119496855346	1
Cas12c_0_CAS-V-C	RIZB01000003_51	423	1272	1.2	4.0	59848	61116	RIZB01000003	51	0.09456264775413711	0.0330188679245283	1
Cas12c_1_CAS-V-C	RIZB01000003_425	185	1268	0.032	9.3	478740	479294	RIZB01000003	425	0.14594594594594595	0.021293375394321766	1
Cas12e_0_CAS-V-E	RIZB01000003_121	419	855	0.0071	12.0	139952	141208	RIZB01000003	121	0.07875894988066826	0.03859649122807018	-1
Cas12e_0_CAS-V-E	RIZB01000003_425	185	855	0.0001	18.1	478740	479294	RIZB01000003	425	0.24864864864864866	0.05380116959064327	1
Cas12e_1_CAS-V-E	RIZB01000003_425	185	986	7.9e-05	18.1	478740	479294	RIZB01000003	425	0.6216216216216216	0.11764705882352941	1
