Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
2OG_0_CAS-I-II-III-IV-V-VI	SYJR01000038_5	261	205	0.0023	13.5	2884	3666	SYJR01000038	5	0.2988505747126437	0.2926829268292683	-1
2OG_1_CAS-I-II-III-IV-V-VI	SYJR01000038_5	261	94	3.2e-10	37.1	2884	3666	SYJR01000038	5	0.42911877394636017	0.925531914893617	-1
AbiEii_0_CAS-III	SYJR01000019_7	318	284	9.6e-05	18.5	3011	3964	SYJR01000019	7	0.36163522012578614	0.3767605633802817	1
AbiEii_0_CAS-III	SYJR01000022_4	714	284	2.2e-06	23.9	2235	4376	SYJR01000022	4	0.06162464985994398	0.08098591549295775	-1
AbiEii_0_CAS-III	SYJR01000027_30	215	284	0.0045	13.1	24505	25149	SYJR01000027	30	0.4325581395348837	0.30985915492957744	-1
AbiEii_0_CAS-III	SYJR01000028_7	697	284	0.0019	14.3	4618	6708	SYJR01000028	7	0.1750358680057389	0.4647887323943662	1
AbiEii_0_CAS-III	SYJR01000036_5	313	284	7.6e-07	25.4	3427	4365	SYJR01000036	5	0.35782747603833864	0.4084507042253521	1
AbiEii_0_CAS-III	SYJR01000042_24	269	284	0.00072	15.7	16713	17519	SYJR01000042	24	0.08921933085501858	0.08450704225352113	1
AbiEii_0_CAS-III	SYJR01000042_36	307	284	0.00082	15.5	28298	29218	SYJR01000042	36	0.44625407166123776	0.5105633802816901	1
AbiEii_0_CAS-III	SYJR01000055_12	255	284	4.8e-05	19.6	8292	9056	SYJR01000055	12	0.2823529411764706	0.25	1
AbiEii_0_CAS-III	SYJR01000063_15	187	284	0.0096	12.0	11487	12047	SYJR01000063	15	0.18181818181818182	0.11267605633802817	-1
AbiEii_0_CAS-III	SYJR01000068_2	690	284	3.4e-06	23.3	195	2264	SYJR01000068	2	0.2	0.352112676056338	-1
AbiEii_0_CAS-III	SYJR01000078_4	734	284	0.00099	15.2	3589	5790	SYJR01000078	4	0.09809264305177112	0.20422535211267606	-1
AbiEii_0_CAS-III	SYJR01000083_11	322	284	0.0012	14.9	7179	8144	SYJR01000083	11	0.2888198757763975	0.323943661971831	1
AbiEii_0_CAS-III	SYJR01000093_15	442	284	0.012	11.7	10160	11485	SYJR01000093	15	0.13800904977375567	0.20774647887323944	-1
AbiEii_0_CAS-III	SYJR01000093_28	257	284	3.6e-08	29.8	18998	19768	SYJR01000093	28	0.3735408560311284	0.33098591549295775	1
Cas10_0_CAS-III	SYJR01000064_13	399	511	0.032	9.5	10426	11622	SYJR01000064	13	0.531328320802005	0.3405088062622309	1
Cas10_0_IIIA	SYJR01000043_3	63	650	0.02	10.1	1694	1882	SYJR01000043	3	0.8253968253968254	0.06615384615384616	-1
Cas10_1_CAS-III	SYJR01000024_8	60	654	0.0088	11.1	3604	3783	SYJR01000024	8	0.7166666666666667	0.06574923547400612	-1
Cas10_1_CAS-III	SYJR01000043_3	63	654	0.011	10.8	1694	1882	SYJR01000043	3	0.8571428571428571	0.0672782874617737	-1
Cas10d_3_CAS-I-D	SYJR01000031_5	448	834	0.0031	12.2	3689	5032	SYJR01000031	5	0.16741071428571427	0.08393285371702638	1
Cas11b_0_CAS-I-B	SYJR01000074_3	460	170	5.7	3.2	3066	4445	SYJR01000074	3	0.48695652173913045	0.49411764705882355	-1
Cas12d_0_CAS-V-D	SYJR01000008_36	77	1163	0.0026	12.0	22171	22401	SYJR01000008	36	0.7142857142857143	0.04299226139294927	-1
Cas12f2_1_CAS-V-F	SYJR01000034_4	66	422	0.00037	16.2	2110	2307	SYJR01000034	4	0.5757575757575758	0.09004739336492891	-1
Cas12f2_1_CAS-V-F	SYJR01000085_2	56	422	0.00061	15.4	834	1001	SYJR01000085	2	0.5357142857142857	0.06635071090047394	1
Cas12f2_2_CAS-V-F	SYJR01000034_4	66	493	0.0016	13.6	2110	2307	SYJR01000034	4	0.48484848484848486	0.06490872210953347	-1
Cas12f2_2_CAS-V-F	SYJR01000093_2	69	493	0.02	10.0	1177	1383	SYJR01000093	2	0.8115942028985508	0.10953346855983773	-1
Cas12k_0_V-K	SYJR01000079_5	300	642	0.0033	12.3	2551	3450	SYJR01000079	5	0.27	0.1277258566978193	-1
Cas12m_0_V-M	SYJR01000014_11	253	577	0.12	7.2	8720	9478	SYJR01000014	11	0.7272727272727273	0.15251299826689774	1
Cas12m_0_V-M	SYJR01000034_4	66	577	0.0044	12.0	2110	2307	SYJR01000034	4	0.6515151515151515	0.07625649913344887	-1
Cas2_10_CAS-I-II-III-IV-V-VI	SYJR01000024_29	63	86	0.0053	13.4	13680	13868	SYJR01000024	29	0.6984126984126984	0.46511627906976744	-1
Cas3HD_0_CAS-I	SYJR01000027_22	412	203	0.0051	13.1	18054	19289	SYJR01000027	22	0.09951456310679611	0.20689655172413793	-1
Cas3_0_CAS-I	SYJR01000053_2	710	353	4.6e-09	32.3	270	2399	SYJR01000053	2	0.20704225352112676	0.46742209631728043	-1
