Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
JAMOVR010000048	JAMOVR010000048@1	11512	12585	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[11]	['5.30e-07']	[0.318]	[0.377]	NA	NA
JAMOVR010000236	JAMOVR010000236@1	3635	4381	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[7]	['5.10e-04']	[0.438]	[0.366]	NA	NA
JAMOVR010000238	JAMOVR010000238@1	664	1824	False	40%	0%	I-B	4.0	['Cas7b_0_CAS-I-B-I-C', 'Cas3HD_0_CAS-I']	[2, 3]	['8.60e-55', '8.50e-08']	[0.911, 0.802]	[0.988, 0.305]	1	NA
JAMOVR010000121	JAMOVR010000121@1	1230	2255	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[3]	['4.70e-03']	[0.477]	[0.567]	NA	NA
JAMOVR010000210	JAMOVR010000210@2	13583	16809	False	14%	0%	I-A	4.0	['Cas10_0_CAS-III', 'Csa5gr11_1_CAS-I-A']	[14, 17]	['9.70e-03', '2.10e-03']	[0.409, 0.65]	[0.36, 0.48]	-1	NA
JAMOVR010000245	JAMOVR010000245@1	170	1791	False	20%	NA	III-A	3.0	['Csm6_2_CAS-III', 'Csm5gr7_0_CAS-III-A-III-D']	[1, 2]	['9.00e-37', '2.50e-08']	[0.428, 0.758]	[0.875, 0.397]	-1	NA
JAMOVR010000053	JAMOVR010000053@1	8917	9261	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[11]	['7.50e-04']	[0.687]	[0.669]	NA	NA
JAMOVR010000095	JAMOVR010000095@1	4102	4800	False	0%	0%	I-A	0.0	['CasR_1_CAS-I-II-III-IV-V-VI']	[4]	['7.70e-18']	[0.73]	[0.734]	NA	NA
JAMOVR010000216	JAMOVR010000216@1	2	613	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[1]	['4.20e-09']	[0.466]	[0.331]	NA	NA
JAMOVR010000297	JAMOVR010000297@1	1094	1513	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[3]	['9.50e-04']	[0.421]	[0.534]	NA	NA
JAMOVR010000102	JAMOVR010000102@1	13006	16565	False	0%	0%	I-C	1.0	['Csx1_2_CAS-III', 'HEAT_CxxC_PDDEXK_0_CAS-I-C']	[14, 16]	['8.40e-03', '6.80e-04']	[0.31, 0.507]	[0.373, 0.354]	NA	NA
JAMOVR010000363	JAMOVR010000363@1	18255	18992	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[15]	['3.00e-21']	[0.606]	[0.746]	NA	NA
JAMOVR010000375	JAMOVR010000375@1	2	1072	False	17%	NA	III-B	2.0	['Cmr1gr7_2_CAS-III-B-III-C']	[1]	['6.70e-19']	[0.941]	[0.865]	-1	NA
